time, realDorsalTactorPos, realVentralTactorPos, boxPosX, boxPosY, boxPosZ, boxLocalRot_11, boxLocalRot_12, boxLocalRot_13, boxLocalRot_21, boxLocalRot_22, boxLocalRot_23, boxLocalRot_31, boxLocalRot_32, boxLocalRot_33, boxGlobalRot_11, boxGlobalRot_12, boxGlobalRot_13, boxGlobalRot_21, boxGlobalRot_22, boxGlobalRot_23, boxGlobalRot_31, boxGlobalRot_32, boxGlobalRot_33, indexForceX, indexForceY, indexForceZ, indexForceGlobalX, indexForceGlobalY, indexForceGlobalZ, indexContact, indexPosX, indexPosY, indexPosZ, indexRot_11, indexRot_12, indexRot_13, indexRot_21, indexRot_22, indexRot_23, indexRot_31, indexRot_32, indexRot_33, thumbForceX, thumbForceY, thumbForceZ, thumbForceGlobalX, thumbForceGlobalY, thumbForceGlobalZ, thumbContact, thumbPosX, thumbPosY, thumbPosZ, thumbRot_11, thumbRot_12, thumbRot_13, thumbRot_21, thumbRot_22, thumbRot_23, thumbRot_31, thumbRot_32, thumbRot_33, mapping, boxInitParam, trialSuccess, 
866.986847, 0.1, 0.1, 0.0296827757, 0.264743058, -0.0199569563, 0.819495209, -0.573086034, -1.82925984e-005, 0.573086034, 0.819495209, -5.43593169e-006, 1.81059533e-005, -6.02851267e-006, 1, 0.819495204, -0.573086041, -3.19981026e-006, 0.573086041, 0.819495204, -1.32605683e-005, 1.02216758e-005, 9.03320555e-006, 1, 0, 0, 0, 0, 0, 0, 0, 0.214198486, 0.0744810791, -0.11238894, -0.381196156, 0.847418228, -0.369385747, -0.874633789, -0.201171875, 0.440917969, 0.299402341, 0.491280918, 0.817977391, 0, 0, 0, 0, 0, 0, 0, 0.257888721, 0.111731348, -0.0742631836, -0.488620982, 0.754186491, -0.438482498, -0.167236328, -0.57421875, -0.801269531, -0.856180083, -0.3181727, 0.406834232, 1, 3, 1, 
867.014669, 0.1, 0.1, 0.0296833087, 0.264741952, -0.0199631547, 0.819476469, -0.573112831, -1.32065863e-005, 0.57311283, 0.819476469, -1.82499245e-005, 2.12817526e-005, 7.38651958e-006, 1, 0.819476463, -0.57311284, 1.47080519e-005, 0.57311284, 0.819476463, 1.019065e-006, -1.26369416e-005, 7.59427363e-006, 1, 0, 0, 0, 0, 0, 0, 0, 0.219107788, 0.0643418945, -0.100632178, -0.395409268, 0.840519293, -0.370014411, -0.861816406, -0.200317383, 0.465698242, 0.317349652, 0.5031261, 0.803863889, 0, 0, 0, 0, 0, 0, 0, 0.263950195, 0.101499219, -0.0628599121, -0.509697451, 0.743706574, -0.432447031, -0.1796875, -0.583496094, -0.791870117, -0.841334073, -0.32590229, 0.431157928, 1, 3, 1, 
867.015474, 0.1, 0.1, 0.0296833252, 0.26474193, -0.0199663708, 0.819476536, -0.573112735, 9.62993141e-006, 0.573112734, 0.819476536, 1.53666792e-005, -1.66983424e-005, -7.07359672e-006, 1, 0.819476545, -0.573112722, -1.10162278e-005, 0.573112722, 0.819476545, -1.5169125e-005, 1.77211588e-005, 6.11720182e-006, 1, 0, 0, 0, 0, 0, 0, 0, 0.219107788, 0.0643418945, -0.100632178, -0.400511292, 0.838394385, -0.369520159, -0.859375, -0.203735352, 0.468994141, 0.31791055, 0.505316531, 0.802302504, 0, 0, 0, 0, 0, 0, 0, 0.263950195, 0.101499219, -0.0628599121, -0.509697451, 0.743706574, -0.432447031, -0.1796875, -0.583496094, -0.791870117, -0.841334073, -0.32590229, 0.431157928, 1, 3, 1, 
867.016297, 0.1, 0.1, 0.0296833334, 0.264741902, -0.019968725, 0.819476604, -0.573112638, -1.7851058e-005, 0.573112638, 0.819476604, -6.96589873e-007, 1.50277488e-005, -9.6598278e-006, 1, 0.8194766, -0.573112643, 6.43645246e-006, 0.573112643, 0.8194766, 1.63305496e-005, -1.46337667e-005, -9.69369101e-006, 1, 0, 0, 0, 0, 0, 0, 0, 0.219518481, 0.0635702393, -0.0997187012, -0.400511292, 0.838394385, -0.369520159, -0.859375, -0.203735352, 0.468994141, 0.31791055, 0.505316531, 0.802302504, 0, 0, 0, 0, 0, 0, 0, 0.263950195, 0.101499219, -0.0628599121, -0.509697451, 0.743706574, -0.432447031, -0.1796875, -0.583496094, -0.791870117, -0.841334073, -0.32590229, 0.431157928, 1, 3, 1, 
867.017089, 0.1, 0.1, 0.0296833483, 0.26474188, -0.0199694953, 0.819476584, -0.573112666, 1.58346305e-005, 0.573112666, 0.819476584, 9.34288437e-006, -1.83306343e-005, 1.41875236e-006, 1, 0.819476571, -0.573112685, -1.33368188e-005, 0.573112685, 0.819476571, 2.20472028e-006, 9.66565741e-006, -9.45021667e-006, 1, 0, 0, 0, 0, 0, 0, 0, 0.219518481, 0.0635702393, -0.0997187012, -0.400511292, 0.838394385, -0.369520159, -0.859375, -0.203735352, 0.468994141, 0.31791055, 0.505316531, 0.802302504, 0, 0, 0, 0, 0, 0, 0, 0.263950195, 0.101499219, -0.0628599121, -0.509697451, 0.743706574, -0.432447031, -0.1796875, -0.583496094, -0.791870117, -0.841334073, -0.32590229, 0.431157928, 1, 3, 1, 
867.017934, 0.1, 0.1, 0.0296833566, 0.264741853, -0.0199684394, 0.819476553, -0.573112711, -1.30869726e-005, 0.573112711, 0.819476553, -1.5782484e-005, 1.97696094e-005, 5.43306522e-006, 1, 0.819476549, -0.573112716, 1.11345547e-005, 0.573112716, 0.819476549, 1.16940889e-006, -9.7947096e-006, 5.42305174e-006, 1, 0, 0, 0, 0, 0, 0, 0, 0.219518481, 0.0635702393, -0.0997187012, -0.400511292, 0.838394385, -0.369520159, -0.859375, -0.203735352, 0.468994141, 0.31791055, 0.505316531, 0.802302504, 0, 0, 0, 0, 0, 0, 0, 0.263950195, 0.101499219, -0.0628599121, -0.509697451, 0.743706574, -0.432447031, -0.1796875, -0.583496094, -0.791870117, -0.841334073, -0.32590229, 0.431157928, 1, 3, 1, 
867.018757, 0.1, 0.1, 0.0296833722, 0.264741832, -0.0199657298, 0.81947661, -0.573112629, 1.47496452e-005, 0.573112629, 0.81947661, 1.82462753e-005, -2.254416e-005, -6.49918791e-006, 1, 0.81947662, -0.573112615, -4.91184742e-006, 0.573112615, 0.81947662, -1.04177522e-005, 9.99568935e-006, 5.72206269e-006, 1, 0, 0, 0, 0, 0, 0, 0, 0.219764282, 0.0625746094, -0.0986348389, -0.404445833, 0.836225293, -0.370047734, -0.857421875, -0.205932617, 0.471435547, 0.318039352, 0.508008329, 0.800532185, 0, 0, 0, 0, 0, 0, 0, 0.264006689, 0.10039165, -0.0619691406, -0.512853526, 0.740907774, -0.433347515, -0.17956543, -0.586181641, -0.789794922, -0.839333678, -0.32730114, 0.433886366, 1, 3, 1, 
867.019549, 0.1, 0.1, 0.0296833789, 0.264741806, -0.0199631975, 0.819476668, -0.573112546, -2.01815631e-005, 0.573112546, 0.819476668, -4.58531442e-006, 1.91662213e-005, -7.80874883e-006, 1, 0.819476667, -0.573112548, 7.98640993e-006, 0.573112548, 0.819476667, 1.5545356e-005, -1.54539152e-005, -8.16194476e-006, 1, 0, 0, 0, 0, 0, 0, 0, 0.219764282, 0.0625746094, -0.0986348389, -0.404445833, 0.836225293, -0.370047734, -0.857421875, -0.205932617, 0.471435547, 0.318039352, 0.508008329, 0.800532185, 0, 0, 0, 0, 0, 0, 0, 0.264006689, 0.10039165, -0.0619691406, -0.512853526, 0.740907774, -0.433347515, -0.17956543, -0.586181641, -0.789794922, -0.839333678, -0.32730114, 0.433886366, 1, 3, 1, 
867.020344, 0.1, 0.1, 0.0296833935, 0.264741786, -0.0199615881, 0.819476631, -0.573112599, 2.4411633e-005, 0.573112599, 0.819476631, 9.26187127e-006, -2.53128579e-005, 6.4007274e-006, 1, 0.819476617, -0.573112619, -1.26170629e-005, 0.573112619, 0.819476617, 2.99426816e-007, 1.01677828e-005, -7.47637126e-006, 1, 0, 0, 0, 0, 0, 0, 0, 0.219764282, 0.0625746094, -0.0986348389, -0.404445833, 0.836225293, -0.370047734, -0.857421875, -0.205932617, 0.471435547, 0.318039352, 0.508008329, 0.800532185, 0, 0, 0, 0, 0, 0, 0, 0.264006689, 0.10039165, -0.0619691406, -0.512853526, 0.740907774, -0.433347515, -0.17956543, -0.586181641, -0.789794922, -0.839333678, -0.32730114, 0.433886366, 1, 3, 1, 
867.02114, 0.1, 0.1, 0.0296833987, 0.264741761, -0.0199613915, 0.819476589, -0.573112659, -1.02608194e-005, 0.573112659, 0.819476589, -1.88220737e-005, 1.919567e-005, 9.54364326e-006, 1, 0.819476585, -0.573112664, 2.00210183e-005, 0.573112664, 0.819476585, 2.39997467e-006, -1.77822116e-005, 9.50757611e-006, 1, 0, 0, 0, 0, 0, 0, 0, 0.219764282, 0.0625746094, -0.0986348389, -0.404445833, 0.836225293, -0.370047734, -0.857421875, -0.205932617, 0.471435547, 0.318039352, 0.508008329, 0.800532185, 0, 0, 0, 0, 0, 0, 0, 0.264006689, 0.10039165, -0.0619691406, -0.512853526, 0.740907774, -0.433347515, -0.17956543, -0.586181641, -0.789794922, -0.839333678, -0.32730114, 0.433886366, 1, 3, 1, 
