time, realDorsalTactorPos, realVentralTactorPos, boxPosX, boxPosY, boxPosZ, boxLocalRot_11, boxLocalRot_12, boxLocalRot_13, boxLocalRot_21, boxLocalRot_22, boxLocalRot_23, boxLocalRot_31, boxLocalRot_32, boxLocalRot_33, boxGlobalRot_11, boxGlobalRot_12, boxGlobalRot_13, boxGlobalRot_21, boxGlobalRot_22, boxGlobalRot_23, boxGlobalRot_31, boxGlobalRot_32, boxGlobalRot_33, indexForceX, indexForceY, indexForceZ, indexForceGlobalX, indexForceGlobalY, indexForceGlobalZ, indexContact, indexPosX, indexPosY, indexPosZ, indexRot_11, indexRot_12, indexRot_13, indexRot_21, indexRot_22, indexRot_23, indexRot_31, indexRot_32, indexRot_33, thumbForceX, thumbForceY, thumbForceZ, thumbForceGlobalX, thumbForceGlobalY, thumbForceGlobalZ, thumbContact, thumbPosX, thumbPosY, thumbPosZ, thumbRot_11, thumbRot_12, thumbRot_13, thumbRot_21, thumbRot_22, thumbRot_23, thumbRot_31, thumbRot_32, thumbRot_33, mapping, boxInitParam, trialSuccess, 
509.782371, 0.1, 0.1, 0.201032816, -0.0935196058, -0.0199598099, 0.226609324, 0.973985736, 3.06883878e-005, 0.973985736, -0.226609324, 7.67451826e-006, 1.44291461e-005, 2.81509345e-005, -0.999999999, 0.226609303, 0.973985741, -2.16335034e-005, 0.97398574, -0.226609301, 4.50496558e-005, 3.89753693e-005, -3.12793949e-005, -0.999999999, 0, 0, 0, 0, 0, 0, 0, 0.251531006, 0.00377182617, 0.000729394532, -0.618902749, 0.716978043, -0.320537483, -0.663574219, -0.259033203, 0.701660156, 0.420105146, 0.647026598, 0.636346735, 0, 0, 0, 0, 0, 0, 0, 0.29635, 0.0510225586, 0.0128883789, -0.689906856, 0.544905129, -0.476388369, -0.228027344, -0.788330078, -0.571289062, -0.686962138, -0.285425809, 0.668219903, 4, 4, 1, 
509.810853, 0.1, 0.1, 0.201032851, -0.0935196354, -0.0199612046, 0.226579323, 0.973992715, 2.62060759e-005, 0.973992715, -0.226579322, -4.83700315e-005, -4.11743034e-005, 3.6484176e-005, -0.999999998, 0.226580227, 0.973992506, 5.44796387e-006, 0.973992505, -0.226580226, -3.69317041e-005, -3.47368022e-005, 1.36742699e-005, -0.999999999, 0, 0, 0, 0, 0, 0, 0, 0.254037305, 0.00823835449, 0.00500546875, -0.601600215, 0.735475416, -0.311333923, -0.666870117, -0.248046875, 0.702636719, 0.439611242, 0.630378197, 0.639832711, 0, 0, 0, 0, 0, 0, 0, 0.29928916, 0.0542602051, 0.0173945313, -0.685798524, 0.55630412, -0.469027714, -0.238525391, -0.780639648, -0.577392578, -0.687512277, -0.284104984, 0.668257083, 4, 4, 1, 
509.811681, 0.1, 0.1, 0.201032853, -0.0935196328, -0.0199645592, 0.22657462, 0.973993809, -2.32220743e-005, 0.973993809, -0.226574619, 4.9607523e-005, 4.30558877e-005, -3.38579623e-005, -0.999999998, 0.226575726, 0.973993553, -2.93149432e-006, 0.973993552, -0.226575726, 3.94012331e-005, 3.77123415e-005, -1.17826195e-005, -0.999999999, 0, 0, 0, 0, 0, 0, 0, 0.254037305, 0.00823835449, 0.00500546875, -0.601600215, 0.735475416, -0.311333923, -0.666870117, -0.248046875, 0.702636719, 0.439611242, 0.630378197, 0.639832711, 0, 0, 0, 0, 0, 0, 0, 0.29928916, 0.0542602051, 0.0173945313, -0.685798524, 0.55630412, -0.469027714, -0.238525391, -0.780639648, -0.577392578, -0.687512277, -0.284104984, 0.668257083, 4, 4, 1, 
509.812519, 0.1, 0.1, 0.201032851, -0.0935196342, -0.019967089, 0.226569903, 0.973994907, 2.77801071e-005, 0.973994906, -0.226569902, -4.97362615e-005, -4.21487292e-005, 3.83264227e-005, -0.999999998, 0.226570834, 0.97399469, 1.05266169e-005, 0.97399469, -0.226570834, -4.09845578e-005, -3.75337173e-005, 1.95387744e-005, -0.999999999, 0, 0, 0, 0, 0, 0, 0, 0.254286182, 0.00895703125, 0.00508066406, -0.60116812, 0.736509226, -0.309893105, -0.666503906, -0.248291016, 0.702880859, 0.440778724, 0.62910213, 0.64034606, 0, 0, 0, 0, 0, 0, 0, 0.299697803, 0.054901123, 0.017709082, -0.686616253, 0.556335836, -0.467692297, -0.23828125, -0.780151367, -0.57824707, -0.686739025, -0.285574563, 0.668397441, 4, 4, 1, 
509.813315, 0.1, 0.1, 0.201032854, -0.0935196332, -0.0199685142, 0.226565413, 0.973995951, -1.75620616e-005, 0.973995951, -0.226565412, 4.02236115e-005, 3.5198679e-005, -2.6218656e-005, -0.999999999, 0.226566286, 0.973995748, -2.12349266e-006, 0.973995748, -0.226566286, 3.23070374e-005, 3.09858052e-005, -9.38795831e-006, -0.999999999, 0, 0, 0, 0, 0, 0, 0, 0.254286182, 0.00895703125, 0.00508066406, -0.60116812, 0.736509226, -0.309893105, -0.666503906, -0.248291016, 0.702880859, 0.440778724, 0.62910213, 0.64034606, 0, 0, 0, 0, 0, 0, 0, 0.299697803, 0.054901123, 0.017709082, -0.686616253, 0.556335836, -0.467692297, -0.23828125, -0.780151367, -0.57824707, -0.686739025, -0.285574563, 0.668397441, 4, 4, 1, 
509.814112, 0.1, 0.1, 0.201032853, -0.093519635, -0.0199687402, 0.226561039, 0.973996969, 2.64840594e-005, 0.973996968, -0.226561038, -4.47190193e-005, -3.75559332e-005, 3.59269811e-005, -0.999999999, 0.226561904, 0.973996768, 1.18648561e-005, 0.973996767, -0.226561904, -3.81427772e-005, -3.44628174e-005, 2.01980317e-005, -0.999999999, 0, 0, 0, 0, 0, 0, 0, 0.254286182, 0.00895703125, 0.00508066406, -0.60116812, 0.736509226, -0.309893105, -0.666503906, -0.248291016, 0.702880859, 0.440778724, 0.62910213, 0.64034606, 0, 0, 0, 0, 0, 0, 0, 0.299697803, 0.054901123, 0.017709082, -0.686616253, 0.556335836, -0.467692297, -0.23828125, -0.780151367, -0.57824707, -0.686739025, -0.285574563, 0.668397441, 4, 4, 1, 
509.814909, 0.1, 0.1, 0.201032854, -0.0935196322, -0.019967788, 0.226556745, 0.973997967, -2.482977e-005, 0.973997967, -0.226556744, 4.81504796e-005, 4.12731174e-005, -3.50929615e-005, -0.999999999, 0.226557585, 0.973997772, -9.02159395e-006, 0.973997772, -0.226557584, 4.08439258e-005, 3.77379822e-005, -1.80405136e-005, -0.999999999, 0, 0, 0, 0, 0, 0, 0, 0.254286182, 0.00895703125, 0.00508066406, -0.60116812, 0.736509226, -0.309893105, -0.666503906, -0.248291016, 0.702880859, 0.440778724, 0.62910213, 0.64034606, 0, 0, 0, 0, 0, 0, 0, 0.299697803, 0.054901123, 0.017709082, -0.686616253, 0.556335836, -0.467692297, -0.23828125, -0.780151367, -0.57824707, -0.686739025, -0.285574563, 0.668397441, 4, 4, 1, 
509.815698, 0.1, 0.1, 0.201032852, -0.0935196333, -0.0199661603, 0.226552527, 0.973998949, 2.44621498e-005, 0.973998948, -0.226552526, -4.46816861e-005, -3.79779535e-005, 3.3948857e-005, -0.999999999, 0.226553374, 0.973998752, 8.46910342e-006, 0.973998751, -0.226553373, -3.7312871e-005, -3.44239859e-005, 1.6702253e-005, -0.999999999, 0, 0, 0, 0, 0, 0, 0, 0.254286182, 0.00895703125, 0.00508066406, -0.60116812, 0.736509226, -0.309893105, -0.666503906, -0.248291016, 0.702880859, 0.440778724, 0.62910213, 0.64034606, 0, 0, 0, 0, 0, 0, 0, 0.299697803, 0.054901123, 0.017709082, -0.686616253, 0.556335836, -0.467692297, -0.23828125, -0.780151367, -0.57824707, -0.686739025, -0.285574563, 0.668397441, 4, 4, 1, 
509.816489, 0.1, 0.1, 0.201032852, -0.0935196298, -0.0199644432, 0.226548326, 0.973999926, -3.05912531e-005, 0.973999925, -0.226548324, 5.36407842e-005, 4.53157227e-005, -4.19481081e-005, -0.999999998, 0.226549182, 0.973999727, -1.29963261e-005, 0.973999726, -0.226549181, 4.57673443e-005, 4.16330738e-005, -2.30269724e-005, -0.999999999, 0, 0, 0, 0, 0, 0, 0, 0.254286182, 0.00895703125, 0.00508066406, -0.60116812, 0.736509226, -0.309893105, -0.666503906, -0.248291016, 0.702880859, 0.440778724, 0.62910213, 0.64034606, 0, 0, 0, 0, 0, 0, 0, 0.299697803, 0.054901123, 0.017709082, -0.686616253, 0.556335836, -0.467692297, -0.23828125, -0.780151367, -0.57824707, -0.686739025, -0.285574563, 0.668397441, 4, 4, 1, 
509.817307, 0.1, 0.1, 0.201032849, -0.0935196315, -0.0199627855, 0.226543954, 0.974000943, 2.55133817e-005, 0.974000942, -0.226543952, -5.33901771e-005, -4.62221805e-005, 3.69452796e-005, -0.999999998, 0.226544802, 0.974000746, 7.40026994e-006, 0.974000745, -0.226544802, -4.50417824e-005, -4.2194237e-005, 1.74118501e-005, -0.999999999, 0, 0, 0, 0, 0, 0, 0, 0.254539819, 0.00944770508, 0.00537165527, -0.600634553, 0.737441565, -0.308591951, -0.666259766, -0.248413086, 0.70300293, 0.441806543, 0.627965727, 0.640757937, 0, 0, 0, 0, 0, 0, 0, 0.29987002, 0.055542041, 0.0180353516, -0.687702304, 0.556367552, -0.466260997, -0.23815918, -0.779541016, -0.578979492, -0.685748489, -0.287044142, 0.668793362, 4, 4, 1, 
