time, realDorsalTactorPos, realVentralTactorPos, boxPosX, boxPosY, boxPosZ, boxLocalRot_11, boxLocalRot_12, boxLocalRot_13, boxLocalRot_21, boxLocalRot_22, boxLocalRot_23, boxLocalRot_31, boxLocalRot_32, boxLocalRot_33, boxGlobalRot_11, boxGlobalRot_12, boxGlobalRot_13], boxGlobalRot_21, boxGlobalRot_22, boxGlobalRot_23, boxGlobalRot_31, boxGlobalRot_32, boxGlobalRot_33, indexPosX, indexPosY, indexPosZ, indexContact, indexForceX, indexForceY, indexForceZ, indexForceGlobalX, indexForceGlobalY, indexForceGlobalZ, thumbPosX, thumbPosY, thumbPosZ, thumbContact, thumbForceX, thumbForceY, thumbForceZ, thumbForceGlobalX, thumbForceGlobalY, thumbForceGlobalZ, hoopSuccess, targetSuccess, trialSuccess, 
96.2411182, 0.1, 0.1, 0.112113808, 0.18410534, -0.0199619741, 0.94450778, -1.88611854e-005, -0.328489046, 0.328489046, 6.88477027e-005, 0.944507777, 4.80117982e-006, -0.999999997, 7.12228836e-005, 0.944507876, -1.91695388e-005, -0.328488769, 0.32848877, 5.76053733e-005, 0.944507874, 8.16937804e-007, -0.999999998, 6.07057071e-005, 0.121593262, -0.0662520508, -0.168198047, 0, 0, 0, 0, 0, 0, 0, 0.195162939, -0.0156995605, -0.138610205, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 
96.2704631, 0.1, 0.1, 0.112113707, 0.184105674, -0.019975613, 0.944513228, 2.0731506e-005, -0.32847338, 0.32847338, -1.22932455e-005, 0.944513228, 1.55431778e-005, -1, -1.84208808e-005, 0.944513296, 2.37798262e-005, -0.328473184, 0.328473185, -2.38783742e-005, 0.944513296, 1.46169564e-005, -0.999999999, -3.03644772e-005, 0.124724268, -0.0857730225, -0.159047046, 0, 0, 0, 0, 0, 0, 0, 0.194997656, -0.0339539063, -0.129259521, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 
96.2711704, 0.1, 0.1, 0.112113705, 0.18410568, -0.0199733225, 0.944512852, 3.08763964e-006, -0.328474461, 0.328474461, -4.94616532e-006, 0.944512852, 1.29162633e-006, -1, -5.68592748e-006, 0.944512927, -1.19281487e-005, -0.328474246, 0.328474246, 5.05040272e-006, 0.944512927, -9.60736345e-006, -1, 8.68826032e-006, 0.124724268, -0.0857730225, -0.159047046, 0, 0, 0, 0, 0, 0, 0, 0.194997656, -0.0339539063, -0.129259521, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 
96.2718829, 0.1, 0.1, 0.112113704, 0.184105686, -0.0199698673, 0.944512532, 1.05613832e-005, -0.328475381, 0.328475381, 6.18706967e-006, 0.944512532, 1.20076589e-005, -1, 2.37461047e-006, 0.944512586, 7.17553004e-006, -0.328475227, 0.328475227, 1.18251267e-005, 0.944512586, 1.06616396e-005, -1, 8.8119971e-006, 0.124724268, -0.0857730225, -0.159047046, 0, 0, 0, 0, 0, 0, 0, 0.194997656, -0.0339539063, -0.129259521, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 
96.2725966, 0.1, 0.1, 0.112113701, 0.184105689, -0.0199663704, 0.944512349, -5.99330005e-006, -0.328475907, 0.328475908, 6.3799695e-006, 0.944512349, -3.56507964e-006, -1, 7.99461466e-006, 0.944512373, -1.82488658e-005, -0.32847584, 0.32847584, -2.76426389e-006, 0.944512373, -1.81442734e-005, -1, 3.38343006e-006, 0.124724268, -0.0857730225, -0.159047046, 0, 0, 0, 0, 0, 0, 0, 0.194997656, -0.0339539063, -0.129259521, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 
96.2733069, 0.1, 0.1, 0.112113704, 0.184105694, -0.0199639306, 0.944512316, -2.74630163e-006, -0.328476005, 0.328476005, 2.11796153e-006, 0.944512316, -1.89821617e-006, -1, 2.90253494e-006, 0.944512316, 2.55553025e-005, -0.328476002, 0.328476002, -6.66434329e-006, 0.944512317, 2.19482211e-005, -1, -1.46888579e-005, 0.124724268, -0.0857730225, -0.159047046, 0, 0, 0, 0, 0, 0, 0, 0.194997656, -0.0339539063, -0.129259521, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 
96.2740137, 0.1, 0.1, 0.112113702, 0.184105698, -0.0199631513, 0.944512294, -2.44512526e-006, -0.328476066, 0.328476066, -1.62307762e-005, 0.944512294, -7.64087239e-006, -1, -1.45270025e-005, 0.944512298, 9.3463845e-006, -0.328476056, 0.328476057, -1.93722452e-005, 0.944512297, 2.46445638e-006, -1, -2.13673874e-005, 0.124724268, -0.0857730225, -0.159047046, 0, 0, 0, 0, 0, 0, 0, 0.194997656, -0.0339539063, -0.129259521, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 
96.2747518, 0.1, 0.1, 0.112113701, 0.184105703, -0.0199640444, 0.944512342, 4.6688265e-006, -0.328475928, 0.328475928, -1.7864899e-005, 0.944512342, -1.45842503e-006, -1, -1.84072147e-005, 0.944512332, 2.17018748e-006, -0.328475959, 0.328475959, -1.39524824e-005, 0.944512331, -2.53328619e-006, -1, -1.38911461e-005, 0.125543506, -0.0887229004, -0.157827588, 0, 0, 0, 0, 0, 0, 0, 0.195056104, -0.036719873, -0.128060449, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 
96.2754658, 0.1, 0.1, 0.112113698, 0.184105708, -0.0199661418, 0.944512326, -2.56670965e-005, -0.328475974, 0.328475974, -1.59691417e-005, 0.944512326, -2.94883684e-005, -1, -6.6520266e-006, 0.944512342, -2.23080271e-005, -0.328475928, 0.328475928, 1.12136452e-006, 0.944512342, -2.07018657e-005, -1, 8.38679254e-006, 0.125543506, -0.0887229004, -0.157827588, 0, 0, 0, 0, 0, 0, 0, 0.195056104, -0.036719873, -0.128060449, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 
96.2761727, 0.1, 0.1, 0.112113697, 0.184105714, -0.0199689178, 0.944512232, 1.75372265e-005, -0.328476245, 0.328476244, 1.87501172e-005, 0.944512232, 2.27230931e-005, -1, 1.19491527e-005, 0.944512248, 1.46429775e-005, -0.328476199, 0.328476198, 2.24699973e-005, 0.944512248, 2.12113309e-005, -1, 1.64133181e-005, 0.125543506, -0.0887229004, -0.157827588, 0, 0, 0, 0, 0, 0, 0, 0.195056104, -0.036719873, -0.128060449, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 
